@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1       0.140695887664                    0          0.140726269          4.653867765
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1       0.106514428124                    0          0.106558643          4.794594034
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1       0.123335305206                    0          0.123319682          4.901152677
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1       0.114222168781                    0          0.114175257          5.024472359
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1      0.1415674100745                    0          0.141587996          5.138647616
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1      0.1078443935214                    0          0.107885312          5.280235612
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1      0.1227644081151                    0          0.122748046          5.388120924
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1       0.112717136973                    0          0.112667191           5.51086897
         "BPM.26L3.B1"        "BPM.25L3.B1"          2283.675735          2337.124251                    1       0.142122982017                    0          0.142133301          5.623536161
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1       0.109273617015                    0            0.1093247          5.765669462
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1       0.122445535278                    0          0.122445961          5.874994162
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1       0.111178355437                    0          0.111127759          5.997440123
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1      0.1423398498444                    0          0.142339794          6.108567882
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1       0.107700653281                    0          0.107746303          6.250907676
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1185216196036                    0          0.118526074          6.358653979
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1       0.108963953703                    0          0.108916868          6.477180053
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1        0.14256346883                    0          0.142545929          6.586096921
         "BPM.17L3.B1"        "BPM.16L3.B1"          2764.712379          2818.160894                    1       0.110430474906                    0          0.110481048           6.72864285
         "BPM.16L3.B1"        "BPM.15L3.B1"          2818.160894           2871.60941                    1       0.118704787343                    0          0.118729218          6.839123898
         "BPM.15L3.B1"        "BPM.14L3.B1"           2871.60941          2925.057926                    1        0.10631352613                    0          0.106271899          6.957853116
