@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ QG %le -1.0915692265640113
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.14R2.B1"          787.1172901                    1     0.02573807792054                    0     0.02184591917887     0.01360898490976    0.001252874040041                    0   0.0001130841850372    0.001247760124104     0.08294124420363   0.0008168715141497      0.2399282289845     0.06505079256458                    0                    0                    0                    0
         "BPM.15R2.B1"           840.565806                    1      0.0257454237799                    0     0.02076429519377     0.01522073883596    0.001262307325953                    0    0.001261970009818   2.918012120519e-05     0.09494705723125   0.0008112612607461    0.007960101529346     0.06463522748599                    0                    0                    0                    0
         "BPM.16R2.B1"          894.0143219                    1     0.02574459765978                    0     0.02471115062064    0.007221034805873    0.001263351413527                    0   6.883149288011e-05   -0.001261474938177     0.03952252451297   0.0008166508133024      0.7629492847295     0.06458546925872                    0                    0                    0                    0
         "BPM.17R2.B1"          947.4628378                    1     0.02574633304732                    0     0.02378979225329    0.009844767642181    0.001261343127981                    0   -0.001259974548875  -5.874200109568e-05     0.05672185636814   0.0008140826007857      0.5116934190345     0.06467126808135                    0                    0                    0                    0
         "BPM.18R2.B1"          1000.911354                    1     0.02574765466525                    0     0.02357417817528     0.01035373575676    0.001261488223382                    0  -6.137539267068e-05    0.001259994285267     0.06013813402176   0.0008138838128305      0.2620218143889     0.06486477574304                    0                    0                    0                    0
         "BPM.19R2.B1"           1054.35987                    1     0.02574014273897                    0     0.02237189650546     0.01273001158569     0.00125228726056                    0    0.001241394067898    0.000164815506395     0.07660786505974   0.0008198155295588     0.02532035141412     0.06518048147973                    0                    0                    0                    0
         "BPM.20R2.B1"          1107.808386                    1     0.02574127855264                    0     0.02539297477298    0.004220219627406    0.001251330439897                    0   0.0002102567625377   -0.001233539607642     0.02048490163842   0.0008137837057426      0.7811881617844     0.06517253474847                    0                    0                    0                    0
         "BPM.21R2.B1"          1161.256901                    1     0.02573845710552                    0     0.02499080331876    0.006158565064654    0.001254534378163                    0   -0.001231200355649  -0.0002408364387786     0.03272798610452   0.0008172945539735      0.5350476784456       0.065075031923                    0                    0                    0                    0
         "BPM.22R2.B1"          1214.705417                    1     0.02573722608326                    0     0.02483388016924    0.006758934990119    0.001254794948519                    0  -0.0002437634677013    0.001230889814176     0.03656442662038   0.0008163317783597      0.2854232643407     0.06488246211331                    0                    0                    0                    0
         "BPM.23R2.B1"          1268.153933                    1     0.02574454915123                    0     0.02394591747807    0.009453827115692    0.001263303640097                    0    0.001229268422711   0.0002912648828936     0.05411831301027   0.0008100707937809     0.04130235669621     0.06467135629521                    0                    0                    0                    0
         "BPM.24R2.B1"          1321.602449                    1     0.02574323661591                    0     0.02573925509552   0.0004527456130348    0.001264175007443                    0   0.0002882972436371   -0.001230862766012      0.9970728682119   0.0008166665747709      0.7908849620646      0.0647113759687                    0                    0                    0                    0
         "BPM.25R2.B1"          1375.050965                    1     0.02574679332435                    0      0.0255885655342    0.002850031646998    0.001260206956874                    0   -0.001218060370451  -0.0003231880382841     0.01192867069085   0.0008124715530907      0.5455582803608     0.06480742992936                    0                    0                    0                    0
         "BPM.26R2.B1"          1428.499481                    1     0.02574791284517                    0     0.02551379621684    0.003464277484264    0.001259749669314                    0  -0.0003240605079375    0.001217355337004     0.01575367567646   0.0008143695278977       0.295687238196     0.06498865597199                    0                    0                    0                    0
         "BPM.27R2.B1"          1481.947997                    1     0.02574077528243                    0       0.024882146025    0.006592899311442    0.001251708986653                    0    0.001205442012676   0.0003371719759162     0.03549615385955    0.000820690687484     0.04772396395391     0.06516279325133                    0                    0                    0                    0
         "BPM.28R2.B1"          1535.396513                    1     0.02574226353793                    0     0.02561800346341   -0.002526268118171    0.001250919746527                    0   0.0003342116631216   -0.001205447127204       0.978629098966     0.00081389214358       0.797367344951     0.06509009819822                    0                    0                    0                    0
         "BPM.29R2.B1"          1588.845029                    1     0.02573803917038                    0     0.02573410157174   -0.000450196214767      0.0012556360232                    0   -0.001190449617356  -0.0003993138255735      0.9914888345197   0.0008187958359283       0.555808537107     0.06500158079359                    0                    0                    0                    0
         "BPM.30R2.B1"          1642.293545                    1     0.02573762311439                    0      0.0257375400927   6.537243429443e-05    0.001256261058317                    0  -0.0004073190144898     0.00118839516453      0.9946770699554   0.0008154088376031      0.3068519614503     0.06490518687832                    0                    0                    0                    0
         "BPM.31R2.B1"           1695.74206                    1     0.02574445026125                    0     0.02549197822112    0.003596632540069    0.001263773938127                    0    0.001201101500787   0.0003930391220941     0.01658157797175   0.0008096500432311     0.05460256227394     0.06476902725959                    0                    0                    0                    0
         "BPM.32R2.B1"          1749.190576                    1      0.0257428243177                    0     0.02516038557823   -0.005444997833478    0.001264449455644                    0   0.0003833575379494   -0.001204935443903      0.9603533102365   0.0008164279078015      0.8032866941099     0.06486997288221                    0                    0                    0                    0
         "BPM.33R2.B1"          1802.639092                    1     0.02574763433502                    0     0.02548317976948   -0.003680791040872    0.001259047160473                    0   -0.001166894492624  -0.0004728181419726      0.9714443757392   0.0008108671631613      0.5655540315586     0.06494131289846                    0                    0                    0                    0
         "BPM.34R2.B1"          1856.087608                    1     0.02574807236094                    0     0.02552626611179   -0.003372383236592    0.001258291936425                    0  -0.0004873157795937    0.001160095654776      0.9733698039976    0.000815026676002      0.3175790343232     0.06504455629955                    0                    0                    0                    0
         "BPM.33L3.B1"          1909.536124                    1     0.02574176122255                    0     0.02573692517469   0.0004989522933529    0.001251392423996                    0    0.001170994264219   0.0004413110377078      0.9973584614298    0.000820708035662     0.06167928533329     0.06514428731389                    0                    0                    0                    0
         "BPM.32L3.B1"           1962.98464                    1     0.02574121156135                    0     0.02437702318831   -0.008268658483846    0.001250614097934                    0   0.0004258187352416   -0.001175888611505      0.9422257984925   0.0008153397798432        0.80961526227      0.0653113551762                    0                    0                    0                    0
         "BPM.31L3.B1"          2016.433156                    1     0.02573570974635                    0     0.02482345984653   -0.006791361969173    0.001256758682995                    0   -0.001135246115847  -0.0005391276692362      0.9517694121232   0.0008204055028866      0.5748527139151     0.06525351446792                    0                    0                    0                    0
         "BPM.30L3.B1"          2069.881672                    1     0.02573511171149                    0     0.02482759971152   -0.006773940313228    0.001257670472447                    0  -0.0005662899773705     0.00112296512804       0.951880747585   0.0008156476658302      0.3286227270005     0.06512266807626                    0                    0                    0                    0
         "BPM.29L3.B1"          2123.330188                    1     0.02574074782577                    0     0.02560229191206   -0.002666223448975    0.001263884459342                    0    0.001162027653993   0.0004970871733626      0.9777584009564   0.0008100942642148      0.0685954619466     0.06505860200862                    0                    0                    0                    0
         "BPM.28L3.B1"          2176.778704                    1     0.02574119000318                    0     0.02328446693535    -0.01097462811745    0.001264634194673                    0   0.0004757303587163   -0.001171742408608      0.9241730034619   0.0008152396798692      0.8156414377677     0.06491325509029                    0                    0                    0                    0
         "BPM.27L3.B1"           2230.22722                    1     0.02574701751293                    0     0.02383536083066   -0.009735732375314    0.001257933583121                    0   -0.001102033686561  -0.0006065629837281      0.9325578853185   0.0008094980283222      0.5843682742145     0.06493746094338                    0                    0                    0                    0
         "BPM.26L3.B1"          2283.675735                    1     0.02574741528481                    0     0.02370169753569    -0.01005777946544    0.001256929280432                    0  -0.0006436939746942    0.001079596814996      0.9304037140207   0.0008150517919686       0.339861457125     0.06504449833848                    0                    0                    0                    0
         "BPM.25L3.B1"          2337.124251                    1     0.02574249448999                    0     0.02507031005422   -0.005844277230964    0.001251410289173                    0    0.001123978342655   0.0005501821490101       0.957823324863   0.0008200844468415      0.0767689517076     0.06507657620484                    0                    0                    0                    0
         "BPM.24L3.B1"          2390.572767                    1     0.02574424053591                    0     0.02190048468278    -0.01353272668129     0.00125113127825                    0    0.000520496484423   -0.001137722674961      0.9061822436249   0.0008145055071262      0.8226141925947     0.06489147875052                    0                    0                    0                    0
         "BPM.23L3.B1"          2444.021283                    1     0.02573852590257                    0     0.02250777474138     -0.0124848625074    0.001258265736615                    0   -0.001066741204006  -0.0006673049285102      0.9136701902261   0.0008215333325887      0.5932571200435     0.06491965259122                    0                    0                    0                    0
         "BPM.22L3.B1"          2497.469799                    1     0.02573835244278                    0     0.02212118151823    -0.01315735971637    0.001259330961955                    0  -0.0007192384691121    0.001033736183118      0.9088748124842   0.0008152972758607      0.3510324302551     0.06483842696109                    0                    0                    0                    0
         "BPM.21L3.B1"          2550.918315                    1     0.02574248947677                    0     0.02411948997471   -0.008995886160988    0.001264120201058                    0    0.001106897973571   0.0006105544683544      0.9374570876929   0.0008108853389148     0.08448989153088     0.06483235222029                    0                    0                    0                    0
         "BPM.20L3.B1"          2604.366831                    1      0.0257407467424                    0     0.01984958606466    -0.01638840980444     0.00126417218289                    0   0.0005803871657346   -0.001123068139448       0.884427472423   0.0008156538079951      0.8301744209136     0.06504614331861                    0                    0                    0                    0
         "BPM.19L3.B1"          2657.815347                    1     0.02574658089349                    0     0.02035954846347    -0.01575992430402    0.001256412430913                    0  -0.0009887174618392  -0.0007752483326058      0.8894328501561   0.0008082731427989      0.6101298926693      0.0649343539704                    0                    0                    0                    0
         "BPM.18L3.B1"          2711.263863                    1     0.02574649417137                    0     0.01982870340562    -0.01642268197853    0.001255314532567                    0  -0.0008647529340105   0.0009099543608297      0.8841852162882   0.0008152434582601       0.375249316705     0.06496286360599                    0                    0                    0                    0
         "BPM.17L3.B1"          2764.712379                    1      0.0257434360767                    0     0.02264644166946    -0.01224186181703    0.001251729533361                    0    0.001003012569264   0.0007488608753217      0.9154020565032   0.0008186051633054      0.1063931840282     0.06491909316732                    0                    0                    0                    0
         "BPM.16L3.B1"          2818.160894                    1     0.02574501983298                    0     0.01785384050422    -0.01854848849504    0.001252029016858                    0   0.0007006816592402   -0.001037603908753      0.8662364535207   0.0008150113300174      0.8488567741948     0.06467379957673                    0                    0                    0                    0
         "BPM.15L3.B1"           2871.60941                    1      0.0257393688059                    0     0.01827932224974    -0.01812129919779     0.00125995124911                    0  -0.0008930623433097  -0.0008887726374598      0.8699628296368   0.0008226041699542      0.6288989730366     0.06490758664205                    0                    0                    0                    0
         "BPM.14L3.B1"          2925.057926                    1     0.02573971394817                    0     0.01711460724064    -0.01922558433786    0.001260969204891                    0  -0.0009931878796317   0.0007769306091511      0.8600390156582   0.0008151490313823      0.3986237262681     0.06493402380471                    0                    0                    0                    0
         "BPM.13L3.B1"          2978.506442                    1     0.02574174433858                    0     0.02064078786455    -0.01538165393979    0.001263356846826                    0   0.0008996628998287   0.0008869482448791      0.8923473833391   0.0008127770322901      0.1281316967932     0.06499737517642                    0                    0                    0                    0
         "BPM.12L3.B1"          3031.954958                    1     0.02574035013971                    0     0.01639080192803    -0.01984709644938    0.001262854258462                    0   0.0007915361433384  -0.0009840078312207      0.8541380341187   0.0008152395888504       0.862075832404     0.06523886361846                    0                    0                    0                    0
         "BPM.11L3.B1"          3085.403474                    1     0.02574451037421                    0     0.01583575629424    -0.02029799588623    0.001255413200614                    0  -0.0008997671621572  -0.0008754892107734      0.8497175839395   0.0008061119610322      0.6271228284649     0.06504481994152                    0                    0                    0                    0
         "BPM.10L3.B1"          3138.184185                    1     0.02574453737799                    0     0.01170686838705    -0.02292881238474    0.001253475319713                    0   -0.000921265324015   0.0008499826938805       0.819407648374   0.0008151345012619      0.3857080269112     0.06518284697549                    0                    0                    0                    0
          "BPM.9L3.B1"          3177.249195                    1     0.02574453866171                    0     0.02041423334265    -0.01568567333384    0.001253475366357                    0    0.000500733910287    0.001149115331528      0.8900042892082    0.000815148447556      0.1889032432657     0.06518344971811                    0                    0                    0                    0
          "BPM.8L3.B1"          3217.712206                    1      0.0257445299651                    0     0.02546504130005   -0.003783185788539    0.001253476070681                    0    0.001141151542579  -0.0005186283993773      0.9708008628169   0.0008151634099468      0.9364179176156     0.06518400282045                    0                    0                    0                    0
          "BPM.7L3.B1"          3256.776216                    1     0.02574453447373                    0     0.02353975373845     0.01042406107053    0.001253478276893                    0  -0.0003041359372974   -0.001216021842849      0.0606223280899   0.0008151726013119      0.7153013023293      0.0651842649295                    0                    0                    0                    0
          "BPM.6L3.B1"          3329.415216                    1     0.02574453268649                    0     0.02212168537766     0.01316859898765    0.001253478359637                    0   -0.001229263024276     0.00024519464763     0.07973132149827   0.0008151668513714      0.4729708909795     0.06518428196433                    0                    0                    0                    0
       "BPMWG.A5L3.B1"          3371.119716                    1     0.02574452968741                    0     0.02189757718956     0.01353798072289    0.001253477468553                    0  -0.0008214471081597   0.0009468000911837     0.08240174511295   0.0008151794069686      0.3680420623034     0.06518418655092                    0                    0                    0                    0
         "BPMW.5L3.B1"          3400.089716                    1     0.02574453077413                    0     0.02524944845527    0.005024561422164    0.001253478419243                    0  -0.0001722421845574    0.001241588006291     0.02553696121494    0.000815168877586      0.2762456514747     0.06518425098008                    0                    0                    0                    0
        "BPMWE.4L3.B1"          3475.217716                    1     0.02574452958578                    0     0.02572970288159   0.0008736093052839    0.001253476936425                    0    0.001045441480968   0.0006915609445462      0.9996758092612   0.0008151727498156     0.09732146241723     0.06518431952285                    0                    0                    0                    0
         "BPMW.4L3.B1"          3502.762716                    1     0.02496515866433                    0     0.02427481828338    0.005830295399383     0.00133489923715                    0    0.001274495571819  -0.0003970100889864     0.03162080256809    0.002238390012165      0.9515394578417      0.3195626558641                    0                    0                    0                    0
