@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ CG_std %le 6.752481673963825e-13
@ QG %le -1.0915692265640113
@ Q1F %le 0.31000305175799797
@ Q2F %le 0.32000073242199956
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          "BPM.9R2.B1"          533.1950212                    1     0.01298709526416   3.729612519513e-10     0.01003677329289    0.008241833853438    0.001299294342963    3.18213810962e-10    -0.00126749313407   -0.000285704295983      0.1094211046191    0.003586750913466      0.5352852321751     0.04938919069649                    0                    0                    0                    0
         "BPM.10R2.B1"          573.6580318                    1     0.01298709730505   4.404007322164e-10      0.0125257595136    0.003430749920687    0.001299290467506   5.708794053591e-10  -0.0001319645635503     0.00129257149625     0.04254834441863    0.003586800387649       0.266192754325      0.0493895292088                    0                    0                    0                    0
         "BPM.11R2.B1"          625.4967424                    1     0.01297908827863      5.752381097e-10     0.01158916334256    0.005843631196762    0.001290516516213   4.315590020996e-10    0.001266106301894    0.000249815353659     0.07432977698969    0.003601976241852     0.03100459679461     0.04958658141429                    0                    0                    0                    0
         "BPM.12R2.B1"          680.2202583                    1     0.01297945622883   7.336294628991e-10     0.01257155239116    0.003228367152675     0.00128958909115   1.133001342068e-09   0.0002763313399878   -0.001259635270447     0.04000642674937    0.003588145844491      0.7843700210418     0.04967616213746                    0                    0                    0                    0
         "BPM.13R2.B1"          733.6687742                    1     0.01297870427782   9.084717674279e-10     0.01208642741333     0.00472916875501    0.001290416697917   6.843811368761e-10   -0.001267689620853  -0.0002411188077391     0.05935938130161    0.003592228891306      0.5299144766718     0.04966757777831                    0                    0                    0                    0
         "BPM.14R2.B1"          787.1172901                    1     0.01297722272042    1.21942521932e-09     0.01234909757996     0.00398849576856    0.001290517265118   2.022553640721e-09  -0.0002327385336372    0.001269357154834     0.04972042414931    0.003594703785262      0.2788607350873     0.04956173586773                    0                    0                    0                    0
         "BPM.15R2.B1"           840.565806                    1      0.0129851301894   1.150493465422e-09     0.01170326943773    0.005625574682082    0.001299140878149   7.435915994012e-10    0.001261058883721   0.0003122459176118     0.07131347295653     0.00357866221319      0.0386307799221     0.04938623491443                    0                    0                    0                    0
         "BPM.16R2.B1"          894.0143219                    1     0.01298420751526    7.14617415409e-10     0.01277577539417    0.002317155125833    0.001299722061637   1.094205259248e-09   0.0003827990086712   -0.001242071800044     0.02855567398728    0.003591138174576      0.7975805034016     0.04936065323703                    0                    0                    0                    0
         "BPM.17R2.B1"          947.4628378                    1     0.01298601704031   5.144388532721e-10     0.01264244880303     0.00296734339671    0.001297837985967   3.897773285355e-10   -0.001229214622905  -0.0004164310851217     0.03669153069192    0.003585009739466      0.5519868290279     0.04938303629731                    0                    0                    0                    0
         "BPM.18R2.B1"          1000.911354                    1     0.01298742228792   3.725908475996e-10     0.01280771783362    0.002153021499938    0.001297425980784   4.782040798815e-10  -0.0004095060919195    0.001231104762518     0.02650666659321    0.003584893155491      0.3011078572434     0.04949344584388                    0                    0                    0                    0
         "BPM.19R2.B1"           1054.35987                    1     0.01297952303465   5.167369248188e-10     0.01230714315709    0.004123377925691    0.001289329245338    3.24628582245e-10     0.00120489207741   0.0004589171871663     0.05145244279403    0.003600617803627     0.05791874692745     0.04962308435849                    0                    0                    0                    0
         "BPM.20R2.B1"          1107.808386                    1     0.01298073460576   7.818586540844e-10     0.01295826870123   0.0007633761667081     0.00128895234135   1.203442524109e-09   0.0005225599985264   -0.001178273816314    0.009365050099075    0.003587055685006       0.816436405237     0.04961011759263                    0                    0                    0                    0
         "BPM.21R2.B1"          1161.256901                    1     0.01297785596766   9.456653634757e-10     0.01292323371373    0.001189443524358    0.001291801301494   6.723959759231e-10   -0.001155921543515  -0.0005767113556881     0.01460733216692    0.003595221583488      0.5736541270208     0.04958507363926                    0                    0                    0                    0
         "BPM.22R2.B1"          1214.705417                    1     0.01297659769402    1.21335476467e-09     0.01297416021372   0.0002515043956284    0.001292473485227   2.030219113409e-09  -0.0005830801808066    0.001153475276183    0.003084835883626    0.003592643669318      0.3244903761663     0.04947765438182                    0                    0                    0                    0
