@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.31000305175799797
@ MUX %le 63.310003051758
@ Q2 %le 0.32000073242199956
@ MUY %le 61.32000073242199
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1      0.1160382289949                    0          0.115106577           4.63942899
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1      0.1535366294983                    0          0.137679173          4.754535567
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1       0.112489408827                    0          0.115106542           4.89221474
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1      0.1231094685787                    0          0.137679178          5.007321282
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1      0.1169855677935                    0          0.115106581           5.14500046
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1      0.1533233553796                    0          0.137679178          5.260107041
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1      0.1116048760139                    0          0.115106534          5.397786219
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1      0.1232943315789                    0          0.137679174          5.512892753
         "BPM.26L3.B1"        "BPM.25L3.B1"          2283.675735          2337.124251                    1      0.1179333961036                    0          0.115106576          5.650571927
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1      0.1530281958964                    0          0.137679169          5.765678503
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1      0.1107419172703                    0          0.115106534          5.903357672
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1       0.123532248291                    0           0.13767917          6.018464206
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1       0.118880689843                    0           0.11510659          6.156143376
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1      0.1535315072169                    0          0.138523067          6.271249966
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1077956969125                    0          0.112867817          6.409773033
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1      0.1200660462983                    0          0.133776531           6.52264085
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1      0.1189306693824                    0            0.1151137          6.656417381
         "BPM.17L3.B1"        "BPM.16L3.B1"          2764.712379          2818.160894                    1      0.1534953945635                    0          0.138518466          6.771531081
         "BPM.16L3.B1"        "BPM.15L3.B1"          2818.160894           2871.60941                    1      0.1077451093354                    0          0.112860799          6.910049547
         "BPM.15L3.B1"        "BPM.14L3.B1"           2871.60941          2925.057926                    1      0.1200752401351                    0          0.133780891          7.022910346
         "BPM.14L3.B1"        "BPM.13L3.B1"          2925.057926          2978.506442                    1      0.1189893229703                    0          0.115120956          7.156691237
         "BPM.13L3.B1"        "BPM.12L3.B1"          2978.506442          3031.954958                    1      0.1520004949682                    0          0.137089349          7.271812193
         "BPM.12L3.B1"        "BPM.11L3.B1"          3031.954958          3085.403474                    1      0.1200132172798                    0          0.126457307          7.408901542
         "BPM.11L3.B1"        "BPM.10L3.B1"          3085.403474          3138.184185                    1      0.1358210992705                    0          0.149079863          7.535358849
         "BPM.10L3.B1"         "BPM.9L3.B1"          3138.184185          3177.249195                    1     0.06310384769624                    0          0.060936828          7.684438712
          "BPM.9L3.B1"         "BPM.8L3.B1"          3177.249195          3217.712206                    1     0.08584417601649                    0          0.076691646           7.74537554
          "BPM.8L3.B1"         "BPM.7L3.B1"          3217.712206          3256.776216                    1     0.06564750346083                    0          0.058947185          7.822067186
          "BPM.7L3.B1"         "BPM.6L3.B1"          3256.776216          3329.415216                    1      0.1116106720656                    0          0.112146494          7.881014371
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"          3329.415216          3371.119716                    1      0.0511292645312                    0          0.057084149          7.993160865
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"          3371.119716          3400.089716                    1     0.07433056753264                    0           0.08335801          8.050245014
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"          3400.089716          3475.217716                    1       0.102392671707                    0          0.103372582          8.133603024
        "BPMWE.4L3.B1"        "BPMW.4L3.B1"          3475.217716          3502.762716                    1     0.01644223908583                    0          0.015203182          8.236975606
         "BPMW.4L3.B1"        "BPMW.4R3.B1"          3502.762716          3547.727716                    1      0.7775671128372                    0          0.070150891          8.252178788
         "BPMW.4R3.B1"       "BPMWE.4R3.B1"          3547.727716          3575.272716                    1      0.1476061215105                    0          0.147642996          8.322329679
        "BPMWE.4R3.B1"        "BPMW.5R3.B1"          3575.272716          3650.400716                    1      0.1295132666408                    0          0.129528357          8.469972675
         "BPMW.5R3.B1"      "BPMWJ.A5R3.B1"          3650.400716          3679.118716                    1     0.01262898449346                    0          0.012626907          8.599501032
       "BPMWJ.A5R3.B1"       "BPMWC.6R3.B1"          3679.118716          3718.936716                    1     0.04590516916867                    0          0.045893486          8.612127939
        "BPMWC.6R3.B1"        "BPMR.6R3.B1"          3718.936716          3731.015216                    1     0.04012406774763                    0          0.040110978          8.658021425
         "BPMR.6R3.B1"       "BPM_A.7R3.B1"          3731.015216          3786.839216                    1       0.188716964312                    0          0.188703099          8.698132403
        "BPM_A.7R3.B1"         "BPM.8R3.B1"          3786.839216          3825.903227                    1      0.1107375696563                    0          0.110771663          8.886835502
          "BPM.8R3.B1"         "BPM.9R3.B1"          3825.903227          3864.968238                    1      0.1041251353408                    0          0.104131874          8.997607165
          "BPM.9R3.B1"        "BPM.10R3.B1"          3864.968238          3905.431248                    1     0.07475291212256                    0          0.074733484          9.101739039
         "BPM.10R3.B1"        "BPM.11R3.B1"          3905.431248          3958.211959                    1     0.09308168491386                    0          0.093054929          9.176472523
         "BPM.11R3.B1"        "BPM.12R3.B1"          3958.211959          4012.935475                    1      0.1007851195491                    0          0.100782918          9.269527452
         "BPM.12R3.B1"        "BPM.13R3.B1"          4012.935475          4066.383991                    1      0.1167833565052                    0          0.116812567           9.37031037
         "BPM.13R3.B1"        "BPM.14R3.B1"          4066.383991          4119.832506                    1      0.1150846237987                    0          0.115091205          9.487122937
         "BPM.14R3.B1"        "BPM.15R3.B1"          4119.832506          4173.281022                    1      0.1385721621216                    0          0.138532149          9.602214142
         "BPM.15R3.B1"        "BPM.16R3.B1"          4173.281022          4226.729538                    1      0.1128846976344                    0          0.112881925          9.740746291
         "BPM.16R3.B1"        "BPM.17R3.B1"          4226.729538          4280.178054                    1      0.1337251626335                    0          0.133767858          9.853628216
         "BPM.17R3.B1"        "BPM.18R3.B1"          4280.178054           4333.62657                    1      0.1150914131485                    0          0.115099146          9.987396074
         "BPM.18R3.B1"        "BPM.19R3.B1"           4333.62657          4387.075086                    1      0.1385636392433                    0           0.13852763          10.10249522
         "BPM.19R3.B1"        "BPM.20R3.B1"          4387.075086          4440.523602                    1       0.112885940443                    0           0.11287489          10.24102285
         "BPM.20R3.B1"        "BPM.21R3.B1"          4440.523602          4493.972118                    1      0.1337413464079                    0           0.13377219          10.35389774
         "BPM.21R3.B1"        "BPM.22R3.B1"          4493.972118          4547.420634                    1      0.1151000700085                    0           0.11510641          10.48766993
         "BPM.22R3.B1"        "BPM.23R3.B1"          4547.420634           4600.86915                    1      0.1377190900486                    0           0.13767919          10.60277634
         "BPM.23R3.B1"        "BPM.24R3.B1"           4600.86915          4654.317666                    1      0.1151086082799                    0           0.11510656          10.74045553
         "BPM.24R3.B1"        "BPM.25R3.B1"          4654.317666          4707.766181                    1      0.1376349708692                    0           0.13767915          10.85556209
         "BPM.25R3.B1"        "BPM.26R3.B1"          4707.766181          4761.214697                    1      0.1151017850251                    0           0.11510655          10.99324124
         "BPM.26R3.B1"        "BPM.27R3.B1"          4761.214697          4814.663213                    1      0.1377152970711                    0            0.1376792          11.10834779
         "BPM.27R3.B1"        "BPM.28R3.B1"          4814.663213          4868.111729                    1       0.115114743035                    0           0.11510657          11.24602699
         "BPM.28R3.B1"        "BPM.29R3.B1"          4868.111729          4921.560245                    1      0.1376468294929                    0           0.13767917          11.36113356
         "BPM.29R3.B1"        "BPM.30R3.B1"          4921.560245          4975.008761                    1      0.1150984329764                    0           0.11510654          11.49881273
         "BPM.30R3.B1"        "BPM.31R3.B1"          4975.008761          5028.457277                    1      0.1377106404941                    0           0.13767918          11.61391927
         "BPM.31R3.B1"        "BPM.32R3.B1"          5028.457277          5081.905793                    1      0.1151102918932                    0           0.11510657          11.75159845
         "BPM.32R3.B1"        "BPM.33R3.B1"          5081.905793          5135.354309                    1      0.1376428158454                    0           0.13767915          11.86670502
         "BPM.33R3.B1"        "BPM.34R3.B1"          5135.354309          5188.802825                    1      0.1151050259861                    0           0.11510656          12.00438417
         "BPM.34R3.B1"        "BPM.33L4.B1"          5188.802825           5242.25134                    1      0.1377148046359                    0           0.13767919          12.11949073
         "BPM.33L4.B1"        "BPM.32L4.B1"           5242.25134          5295.699856                    1      0.1151073148729                    0           0.11510657          12.25716992
         "BPM.32L4.B1"        "BPM.31L4.B1"          5295.699856          5349.148372                    1      0.1376414758664                    0           0.13767915          12.37227649
         "BPM.31L4.B1"        "BPM.30L4.B1"          5349.148372          5402.596888                    1      0.1151118365518                    0           0.11510655          12.50995564
         "BPM.30L4.B1"        "BPM.29L4.B1"          5402.596888          5456.045404                    1      0.1377240610967                    0           0.13767921          12.62506219
         "BPM.29L4.B1"        "BPM.28L4.B1"          5456.045404           5509.49392                    1      0.1150998009864                    0           0.11510656           12.7627414
         "BPM.28L4.B1"        "BPM.27L4.B1"           5509.49392          5562.942436                    1      0.1376346507147                    0           0.13767915          12.87784796
         "BPM.27L4.B1"        "BPM.26L4.B1"          5562.942436          5616.390952                    1      0.1151111905397                    0           0.11510655          13.01552711
         "BPM.26L4.B1"        "BPM.25L4.B1"          5616.390952          5669.839468                    1      0.1377159400161                    0            0.1376792          13.13063366
         "BPM.25L4.B1"        "BPM.24L4.B1"          5669.839468          5723.287984                    1      0.1151059377433                    0           0.11510657          13.26831286
         "BPM.24L4.B1"        "BPM.23L4.B1"          5723.287984            5776.7365                    1      0.1376476090494                    0           0.13767916          13.38341943
         "BPM.23L4.B1"        "BPM.22L4.B1"            5776.7365          5830.185015                    1      0.1151127109824                    0           0.11510655          13.52109859
         "BPM.22L4.B1"        "BPM.21L4.B1"          5830.185015          5883.633531                    1      0.1377174987792                    0           0.13767919          13.63620514
         "BPM.21L4.B1"        "BPM.20L4.B1"          5883.633531          5937.082047                    1      0.1121929502404                    0           0.11220305          13.77388433
         "BPM.20L4.B1"        "BPM.19L4.B1"          5937.082047          5990.530563                    1      0.1345456427369                    0           0.13458886          13.88608738
         "BPM.19L4.B1"        "BPM.18L4.B1"          5990.530563          6043.979079                    1      0.1158160383394                    0            0.1158093          14.02067624
         "BPM.18L4.B1"        "BPM.17L4.B1"          6043.979079          6097.427595                    1      0.1377096530056                    0           0.13767273          14.13648554
         "BPM.17L4.B1"        "BPM.16L4.B1"          6097.427595          6150.876111                    1      0.1121966289212                    0           0.11219853          14.27415827
         "BPM.16L4.B1"        "BPM.15L4.B1"          6150.876111          6204.324627                    1      0.1345652538874                    0           0.13459594           14.3863568
         "BPM.15L4.B1"        "BPM.14L4.B1"          6204.324627          6257.773143                    1      0.1158202598218                    0           0.11581404          14.52095274
         "BPM.14L4.B1"        "BPM.13L4.B1"          6257.773143          6311.221659                    1      0.1377035888036                    0           0.13766541          14.63676678
         "BPM.13L4.B1"        "BPM.12L4.B1"          6311.221659          6364.670174                    1      0.1207351197992                    0           0.12074852          14.77443219
         "BPM.12L4.B1"        "BPM.11L4.B1"          6364.670174           6418.11869                    1      0.1476996640881                    0           0.14774311          14.89518071
         "BPM.11L4.B1"      "BPMCS.10L4.B1"           6418.11869          6469.765401                    1      0.1078759410847                    0           0.10786046          15.04292382
       "BPMCS.10L4.B1"        "BPM.10L4.B1"          6469.765401          6469.957401                    1   0.0008616304166872                    0   0.0008613700000009          15.15078428
         "BPM.10L4.B1"       "BPMCS.9L4.B1"          6469.957401          6508.830412                    1      0.1157558883202                    0           0.11572356          15.15164565
        "BPMCS.9L4.B1"         "BPM.9L4.B1"          6508.830412          6509.022412                    1   0.0002714557817287                    0   0.0002714200000007          15.26736921
          "BPM.9L4.B1"       "BPMCS.8L4.B1"          6509.022412          6549.293422                    1      0.1571999013358                    0           0.15722007          15.26764063
