@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.34R2.B1"        "BPM.33L3.B1"          1856.087608          1909.536124                    1       0.113587778857                    0          0.113555643          4.631631013
         "BPM.33L3.B1"        "BPM.32L3.B1"          1909.536124           1962.98464                    1        0.14579695515                    0          0.145800008          4.745186656
         "BPM.32L3.B1"        "BPM.31L3.B1"           1962.98464          2016.433156                    1       0.116055397126                    0          0.116086792          4.890986664
         "BPM.31L3.B1"        "BPM.30L3.B1"          2016.433156          2069.881672                    1       0.129847459677                    0          0.129843347          5.007073456
         "BPM.30L3.B1"        "BPM.29L3.B1"          2069.881672          2123.330188                    1        0.11406495976                    0          0.114032796          5.136916803
         "BPM.29L3.B1"        "BPM.28L3.B1"          2123.330188          2176.778704                    1       0.145882885008                    0          0.145889931          5.250949599
         "BPM.28L3.B1"        "BPM.27L3.B1"          2176.778704           2230.22722                    1       0.115560434852                    0          0.115592937           5.39683953
         "BPM.27L3.B1"        "BPM.26L3.B1"           2230.22722          2283.675735                    1       0.129792132376                    0           0.12978561          5.512432467
         "BPM.26L3.B1"        "BPM.25L3.B1"          2283.675735          2337.124251                    1       0.114550425614                    0           0.11451765          5.642218077
         "BPM.25L3.B1"        "BPM.24L3.B1"          2337.124251          2390.572767                    1       0.145929616961                    0          0.145937025          5.756735727
         "BPM.24L3.B1"        "BPM.23L3.B1"          2390.572767          2444.021283                    1        0.11506224057                    0          0.115099281          5.902672752
         "BPM.23L3.B1"        "BPM.22L3.B1"          2444.021283          2497.469799                    1       0.129763398281                    0          0.129764095          6.017772033
         "BPM.22L3.B1"        "BPM.21L3.B1"          2497.469799          2550.918315                    1       0.115046287787                    0          0.115007946          6.147536128
         "BPM.21L3.B1"        "BPM.20L3.B1"          2550.918315          2604.366831                    1      0.1468173421623                    0          0.146819522          6.262544074
         "BPM.20L3.B1"        "BPM.19L3.B1"          2604.366831          2657.815347                    1      0.1123678920987                    0          0.112399207          6.409363596
         "BPM.19L3.B1"        "BPM.18L3.B1"          2657.815347          2711.263863                    1       0.126045442627                    0          0.126035322          6.521762803
         "BPM.18L3.B1"        "BPM.17L3.B1"          2711.263863          2764.712379                    1       0.115073025314                    0          0.115039585          6.647798125
         "BPM.17L3.B1"        "BPM.16L3.B1"          2764.712379          2818.160894                    1       0.146802416218                    0          0.146813622           6.76283771
         "BPM.16L3.B1"        "BPM.15L3.B1"          2818.160894           2871.60941                    1       0.112332561907                    0          0.112368633          6.909651332
         "BPM.15L3.B1"        "BPM.14L3.B1"           2871.60941          2925.057926                    1       0.126041076497                    0          0.126040061          7.022019965
         "BPM.14L3.B1"        "BPM.13L3.B1"          2925.057926          2978.506442                    1       0.115109952404                    0          0.115071372          7.148060026
         "BPM.13L3.B1"        "BPM.12L3.B1"          2978.506442          3031.954958                    1      0.1453230223178                    0          0.145324974          7.263131398
         "BPM.12L3.B1"        "BPM.11L3.B1"          3031.954958          3085.403474                    1      0.1253671668642                    0           0.12540068          7.408456372
         "BPM.11L3.B1"        "BPM.10L3.B1"          3085.403474          3138.184185                    1       0.141009308725                    0          0.140989423          7.533857052
         "BPM.10L3.B1"         "BPM.9L3.B1"          3138.184185          3177.249195                    1       0.060936775884                    0          0.060917947          7.674846475
          "BPM.9L3.B1"         "BPM.8L3.B1"          3177.249195          3217.712206                    1       0.080560556445                    0           0.08055018          7.735764422
          "BPM.8L3.B1"         "BPM.7L3.B1"          3217.712206          3256.776216                    1       0.062843715274                    0          0.062852433          7.816314602
          "BPM.7L3.B1"         "BPM.6L3.B1"          3256.776216          3329.415216                    1       0.114157068469                    0          0.114191322          7.879167035
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"          3329.415216          3371.119716                    1       0.054552679027                    0          0.054561152          7.993358357
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"          3371.119716          3400.089716                    1       0.078206947158                    0           0.07819936          8.047919509
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"          3400.089716          3475.217716                    1       0.101095035747                    0          0.101064754          8.126118869
        "BPMWE.4L3.B1"        "BPMW.4L3.B1"          3475.217716          3502.762716                    1       0.015576587509                    0          0.015572453          8.227183623
         "BPMW.4L3.B1"        "BPMW.4R3.B1"          3502.762716          3547.727716                    1       0.773845062201                    0          0.073838766          8.242756076
         "BPMW.4R3.B1"       "BPMWE.4R3.B1"          3547.727716          3575.272716                    1       0.153942626025                    0          0.153979696          8.316594842
        "BPMWE.4R3.B1"        "BPMW.5R3.B1"          3575.272716          3650.400716                    1      0.1234895074777                    0          0.123502012          8.470574538
         "BPMW.5R3.B1"      "BPMWJ.A5R3.B1"          3650.400716          3679.118716                    1      0.0118325002695                    0           0.01183065           8.59407655
       "BPMWJ.A5R3.B1"       "BPMWC.6R3.B1"          3679.118716          3718.936716                    1      0.0434359128715                    0          0.043425563            8.6059072
        "BPMWC.6R3.B1"        "BPMR.6R3.B1"          3718.936716          3731.015216                    1       0.038950004755                    0          0.038937997          8.649332763
         "BPMR.6R3.B1"       "BPM_A.7R3.B1"          3731.015216          3786.839216                    1      0.1970611255743                    0          0.197047687           8.68827076
        "BPM_A.7R3.B1"         "BPM.8R3.B1"          3786.839216          3825.903227                    1       0.112328921866                    0          0.112361646          8.885318447
          "BPM.8R3.B1"         "BPM.9R3.B1"          3825.903227          3864.968238                    1       0.098486513365                    0          0.098491557          8.997680093
          "BPM.9R3.B1"        "BPM.10R3.B1"          3864.968238          3905.431248                    1       0.070947908819                    0          0.070930587           9.09617165
         "BPM.10R3.B1"        "BPM.11R3.B1"          3905.431248          3958.211959                    1       0.093669805605                    0          0.093643778          9.167102237
         "BPM.11R3.B1"        "BPM.12R3.B1"          3958.211959          4012.935475                    1       0.107070587085                    0           0.10706818          9.260746015
         "BPM.12R3.B1"        "BPM.13R3.B1"          4012.935475          4066.383991                    1       0.119623077367                    0          0.119651922          9.367814195
         "BPM.13R3.B1"        "BPM.14R3.B1"          4066.383991          4119.832506                    1      0.1091452549594                    0          0.109150378          9.487466117
         "BPM.14R3.B1"        "BPM.15R3.B1"          4119.832506          4173.281022                    1      0.1344499170252                    0          0.134411829          9.596616495
         "BPM.15R3.B1"        "BPM.16R3.B1"          4173.281022          4226.729538                    1      0.1190149783914                    0          0.119011622          9.731028324
         "BPM.16R3.B1"        "BPM.17R3.B1"          4226.729538          4280.178054                    1       0.137650649895                    0          0.137693313          9.850039946
         "BPM.17R3.B1"        "BPM.18R3.B1"          4280.178054           4333.62657                    1       0.109140487885                    0          0.109146431          9.987733259
         "BPM.18R3.B1"        "BPM.19R3.B1"           4333.62657          4387.075086                    1       0.134464439589                    0           0.13443109          10.09687969
         "BPM.19R3.B1"        "BPM.20R3.B1"          4387.075086          4440.523602                    1       0.119028556336                    0            0.1190169          10.23131078
         "BPM.20R3.B1"        "BPM.21R3.B1"          4440.523602          4493.972118                    1        0.13764260614                    0           0.13767337          10.35032768
         "BPM.21R3.B1"        "BPM.22R3.B1"          4493.972118          4547.420634                    1      0.1091368851488                    0           0.10914187          10.48800105
         "BPM.22R3.B1"        "BPM.23R3.B1"          4547.420634           4600.86915                    1      0.1336266733533                    0           0.13358852          10.59714292
         "BPM.23R3.B1"        "BPM.24R3.B1"           4600.86915          4654.317666                    1      0.1213753760639                    0            0.1213727          10.73073144
         "BPM.24R3.B1"        "BPM.25R3.B1"          4654.317666          4707.766181                    1       0.141288380908                    0           0.14133247          10.85210414
         "BPM.25R3.B1"        "BPM.26R3.B1"          4707.766181          4761.214697                    1       0.108922593626                    0           0.10892593          10.99343661
         "BPM.26R3.B1"        "BPM.27R3.B1"          4761.214697          4814.663213                    1       0.134103488768                    0           0.13406977          11.10236254
         "BPM.27R3.B1"        "BPM.28R3.B1"          4814.663213          4868.111729                    1        0.12162272804                    0           0.12161401          11.23643231
         "BPM.28R3.B1"        "BPM.29R3.B1"          4868.111729          4921.560245                    1       0.140771080988                    0            0.1408031          11.35804632
         "BPM.29R3.B1"        "BPM.30R3.B1"          4921.560245          4975.008761                    1      0.1087317246817                    0            0.1087386          11.49884942
         "BPM.30R3.B1"        "BPM.31R3.B1"          4975.008761          5028.457277                    1      0.1345995482552                    0           0.13457022          11.60758802
         "BPM.31R3.B1"        "BPM.32R3.B1"          5028.457277          5081.905793                    1      0.1218256606191                    0           0.12182171          11.74215824
         "BPM.32R3.B1"        "BPM.33R3.B1"          5081.905793          5135.354309                    1       0.140224952061                    0           0.14026021          11.86397995
         "BPM.33R3.B1"        "BPM.34R3.B1"          5135.354309          5188.802825                    1       0.108580121929                    0           0.10858071          12.00424016
         "BPM.34R3.B1"        "BPM.33L4.B1"          5188.802825           5242.25134                    1       0.135121138894                    0           0.13508773          12.11282087
         "BPM.33L4.B1"        "BPM.32L4.B1"           5242.25134          5295.699856                    1       0.121995344094                    0            0.1219945           12.2479086
         "BPM.32L4.B1"        "BPM.31L4.B1"          5295.699856          5349.148372                    1       0.139670474974                    0           0.13970675           12.3699031
         "BPM.31L4.B1"        "BPM.30L4.B1"          5349.148372          5402.596888                    1      0.1084585022732                    0           0.10845281          12.50960985
         "BPM.30L4.B1"        "BPM.29L4.B1"          5402.596888          5456.045404                    1      0.1356634254701                    0           0.13561996          12.61806266
         "BPM.29L4.B1"        "BPM.28L4.B1"          5456.045404           5509.49392                    1      0.1221244709927                    0           0.12213131          12.75368262
         "BPM.28L4.B1"        "BPM.27L4.B1"           5509.49392          5562.942436                    1       0.139102339063                    0            0.1391456          12.87581393
         "BPM.27L4.B1"        "BPM.26L4.B1"          5562.942436          5616.390952                    1       0.108360252891                    0           0.10835536          13.01495953
         "BPM.26L4.B1"        "BPM.25L4.B1"          5616.390952          5669.839468                    1       0.136199454939                    0            0.1361645          13.12331489
         "BPM.25L4.B1"        "BPM.24L4.B1"          5669.839468          5723.287984                    1       0.122230694809                    0           0.12223127          13.25947939
         "BPM.24L4.B1"        "BPM.23L4.B1"          5723.287984            5776.7365                    1       0.138549317296                    0           0.13857969          13.38171066
         "BPM.23L4.B1"        "BPM.22L4.B1"            5776.7365          5830.185015                    1      0.1082947207188                    0           0.10828866          13.52029035
         "BPM.22L4.B1"        "BPM.21L4.B1"          5830.185015          5883.633531                    1      0.1367566146053                    0           0.13671886          13.62857901
         "BPM.21L4.B1"        "BPM.20L4.B1"          5883.633531          5937.082047                    1      0.1192205303249                    0             0.119231          13.76529787
         "BPM.20L4.B1"        "BPM.19L4.B1"          5937.082047          5990.530563                    1       0.135316203487                    0             0.135358          13.88452887
         "BPM.19L4.B1"        "BPM.18L4.B1"          5990.530563          6043.979079                    1       0.108964096628                    0           0.10895742          14.01988687
         "BPM.18L4.B1"        "BPM.17L4.B1"          6043.979079          6097.427595                    1       0.136775693476                    0            0.1367402          14.12884429
         "BPM.17L4.B1"        "BPM.16L4.B1"          6097.427595          6150.876111                    1       0.119226853508                    0           0.11922877          14.26558449
         "BPM.16L4.B1"        "BPM.15L4.B1"          6150.876111          6204.324627                    1       0.135308093194                    0           0.13533776          14.38481326
         "BPM.15L4.B1"        "BPM.14L4.B1"          6204.324627          6257.773143                    1       0.108965444689                    0           0.10895937          14.52015102
         "BPM.14L4.B1"        "BPM.13L4.B1"          6257.773143          6311.221659                    1      0.1367986247371                    0           0.13676075          14.62911039
         "BPM.13L4.B1"        "BPM.12L4.B1"          6311.221659          6364.670174                    1      0.1282196891269                    0           0.12823365          14.76587114
         "BPM.12L4.B1"        "BPM.11L4.B1"          6364.670174           6418.11869                    1       0.146868277241                    0           0.14690975          14.89410479
         "BPM.11L4.B1"      "BPMCS.10L4.B1"           6418.11869          6469.765401                    1       0.101420296979                    0           0.10140591          15.04101454
       "BPMCS.10L4.B1"        "BPM.10L4.B1"          6469.765401          6469.957401                    1       0.000821400501                    0           0.00082117          15.14242045
         "BPM.10L4.B1"       "BPMCS.9L4.B1"          6469.957401          6508.830412                    1       0.115285981935                    0            0.1152544          15.14324162
        "BPMCS.9L4.B1"         "BPM.9L4.B1"          6508.830412          6509.022412                    1       0.000282818624                    0   0.0002827699999983          15.25849602
          "BPM.9L4.B1"       "BPMCS.8L4.B1"          6509.022412          6549.293422                    1        0.16618103113                    0           0.16620185          15.25877879
        "BPMCS.8L4.B1"         "BPM.8L4.B1"          6549.293422          6549.485422                    1       0.002019570429                    0    0.002020210000001          15.42498064
          "BPM.8L4.B1"       "BPMCS.7L4.B1"          6549.485422          6588.357433                    1      0.1794660675739                    0           0.17948584          15.42700085
        "BPMCS.7L4.B1"         "BPM.7L4.B1"          6588.357433          6588.549433                    1      0.0002177347202                    0   0.0002176899999995          15.60648669
          "BPM.7L4.B1"       "BPMYB.6L4.B1"          6588.549433          6685.153433                    1      0.1085203445978                    0           0.10848927          15.60670438
        "BPMYB.6L4.B1"       "BPMYA.5L4.B1"          6685.153433          6722.153433                    1      0.0247123203196                    0           0.02470971          15.71519365
        "BPMYA.5L4.B1"      "BPMWI.A5L4.B1"          6722.153433          6798.755933                    1      0.0320637689114                    0           0.03207553          15.73990336
       "BPMWI.A5L4.B1"      "BPMWA.B5L4.B1"          6798.755933          6824.619933                    1      0.0137101394851                    0           0.01371607          15.77197889
       "BPMWA.B5L4.B1"      "BPMWA.A5L4.B1"          6824.619933          6833.504933                    1       0.005083625712                    0           0.00508591          15.78569496
       "BPMWA.A5L4.B1"      "BPMWA.A5R4.B1"          6833.504933          6881.553933                    1       0.030770168799                    0            0.0307843          15.79078087
       "BPMWA.A5R4.B1"      "BPMWA.B5R4.B1"          6881.553933          6890.438933                    1       0.006251276876                    0    0.006254090000001          15.82156517
       "BPMWA.B5R4.B1"       "BPMYB.5R4.B1"          6890.438933          6992.829433                    1        0.07749963205                    0           0.07752491          15.82781926
        "BPMYB.5R4.B1"       "BPMYA.6R4.B1"          6992.829433          7024.393433                    1       0.014645948657                    0           0.01464759          15.90534417
